user_id,name,email,signup_date,country,kyc_status,kyc_method,tenure_days,risk_score
1,Donald Walker,rhodespatricia@example.org,2025-02-18,NG,Verified,Document Upload,132,0.025
2,Brandon Hall,hoffmanjennifer@example.net,2025-01-31,GH,Verified,Utility Bill,150,0.736
3,Kevin Pacheco,blakeerik@example.com,2025-01-14,NG,Verified,Document Upload,167,0.59
4,Tyler Rogers,jamesmichael@example.com,2024-10-31,GH,Verified,Utility Bill,242,0.233
5,Monica Herrera,smiller@example.net,2025-02-04,GH,Pending,Bank Verification,146,0.716
6,Laura Bush,stanleykendra@example.org,2025-02-10,GH,Verified,Document Upload,140,0.449
7,Jamie Chavez,francisco53@example.net,2025-05-08,GH,Verified,Document Upload,53,0.698
8,Maria Lynch,amandasanchez@example.com,2024-10-04,GH,Verified,Document Upload,269,0.957
9,Margaret Hawkins DDS,perezantonio@example.com,2024-11-14,UG,Pending,Utility Bill,228,0.097
10,Thomas Bradley,jason76@example.net,2024-11-22,KE,Pending,Utility Bill,220,0.807
11,David Hoffman,julie69@example.com,2024-12-13,NG,Verified,Utility Bill,199,0.973
12,Brenda Snyder PhD,hernandezernest@example.net,2024-11-08,KE,Verified,Bank Verification,234,0.829
13,James Ferrell,tasha01@example.net,2024-11-30,GH,Verified,Document Upload,212,0.705
14,Patricia Peterson,ryan70@example.net,2025-05-18,KE,Pending,Document Upload,43,0.985
15,Jonathan White,harrellkenneth@example.net,2025-05-15,UG,Verified,Bank Verification,46,0.278
16,James Martin,georgetracy@example.org,2024-12-31,GH,Verified,Bank Verification,181,0.37
17,Sandra Parker,allenashley@example.org,2025-06-04,NG,Verified,Utility Bill,26,0.609
18,Mr. Philip Cannon,donnaarroyo@example.org,2024-07-30,GH,Verified,Utility Bill,335,0.163
19,Jenny Lewis,jenniferross@example.net,2024-10-04,GH,Pending,Document Upload,269,0.685
20,Joseph Martinez,calebsmith@example.net,2025-02-21,GH,Pending,Bank Verification,129,0.822
21,Benjamin Welch,carlosjohnson@example.com,2024-09-21,KE,Failed,Utility Bill,282,0.066
22,Michael Lewis,jenniferkhan@example.net,2024-07-24,KE,Verified,Utility Bill,341,0.213
23,Rhonda Lee,hopkinsmichael@example.com,2024-12-18,UG,Verified,Utility Bill,194,0.143
24,Megan Joyce,brownjessica@example.org,2024-12-16,KE,Verified,Utility Bill,196,0.747
25,Jerry Henderson,steven17@example.net,2024-09-28,UG,Failed,Document Upload,275,0.362
26,Kimberly Smith,housemelinda@example.org,2024-08-03,UG,Verified,Document Upload,331,0.091
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-11-24,GH,Pending,Bank Verification,218,0.627
28,Monica Logan,smoore@example.org,2024-10-11,NG,Verified,Bank Verification,262,0.385
29,Kimberly Adkins,williamsthomas@example.net,2025-06-18,KE,Pending,Document Upload,12,0.971
